payment_id,order_id,amount_usd,method
361,361,100.38,card
362,362,238.91,card
368,368,132.28,card
372,372,249.36,card
373,373,171.94,card
374,374,142.41,card
375,375,182.28,card
376,376,201.52,card
378,378,111.54,card
379,379,32.33,card
380,380,120.74,card
381,381,45.16,card
382,382,165.35,card
383,383,116.67,card
384,384,210.38,card
385,385,53.69,card
387,387,79.5,card
388,388,140.37,card
389,389,154.07,card
390,390,169.8,card
393,393,83.07,card
394,394,72.55,card
395,395,84.9,card
396,396,52.15,card
397,397,62.95,card
398,398,217.45,card
399,399,71.81,card
400,400,73.26,card
403,403,65.56,card
404,404,81.12,card
405,405,82.15,card
406,406,185.96,card
407,407,25.63,card
408,408,60.74,card
409,409,105.79,card
410,410,80.73,card
412,412,192.42,card
413,413,109.33,card
414,414,47.2,card
415,415,137.04,card
416,416,47.85,card
417,417,53.19,card
418,418,85.45,card
419,419,92.84,card
420,420,152.17,card
421,421,155.27,card
422,422,150.74,card
423,423,127.91,card
424,424,197.03,card
425,425,22.42,card
433,433,85.15,card
434,434,196.23,card
435,435,89.5,card
442,442,71.23,card
443,443,38.63,card
444,444,241.66,card
445,445,110.62,card
446,446,127.2,card
447,447,90.47,card
448,448,168.29,card
450,450,58.78,card
451,451,221.03,card
452,452,215.0,card
453,453,205.07,card
454,454,167.35,card
455,455,188.11,card
456,456,173.48,card
457,457,216.19,card
458,458,136.09,card
459,459,58.42,card
463,463,159.44,card
464,464,127.37,card
465,465,102.8,card
466,466,192.98,card
467,467,194.04,card
470,470,50.22,card
471,471,118.83,card
472,472,129.87,card
473,473,205.04,card
479,479,111.08,card
480,480,103.0,card
481,481,219.36,card
487,487,96.35,card
488,488,195.02,card
489,489,71.56,card
490,490,22.89,card
491,491,72.51,card
492,492,70.07,card
493,493,47.93,card
494,494,206.71,card
499,499,126.28,card
500,500,216.52,card
501,501,229.96,card
502,502,145.96,card
503,503,74.92,card
512,512,193.98,card
513,513,102.12,card
514,514,218.06,card
515,515,76.28,card
517,517,168.83,card
518,518,194.39,card
519,519,123.29,card
527,527,169.93,card
538,538,147.42,card
539,539,240.95,card
540,540,92.96,card
541,541,200.77,card
542,542,132.69,card
543,543,37.96,card
544,544,95.04,card
545,545,108.23,card
546,546,164.02,card
552,552,36.51,card
553,553,99.58,card
568,568,249.36,card
569,569,21.33,card
573,573,151.83,card
574,574,142.76,card
575,575,179.88,card
576,576,164.97,card
577,577,246.15,card
583,583,137.46,card
584,584,117.97,card
585,585,30.79,card
586,586,20.31,card
587,587,174.13,card
588,588,115.2,card
589,589,162.99,card
590,590,107.96,card
591,591,120.65,card
592,592,180.61,card
593,593,150.68,card
597,597,230.89,card
598,598,88.6,card
599,599,58.02,card
600,600,106.29,card
601,601,105.17,card
602,602,177.96,card
603,603,145.4,card
610,610,135.04,card
611,611,197.15,card
612,612,142.38,card
613,613,84.96,card
614,614,76.76,card
621,621,46.86,card
626,626,121.85,card
629,629,131.26,card
630,630,94.37,card
631,631,215.32,card
632,632,25.8,card
633,633,18.83,card
634,634,118.7,card
636,636,27.17,card
638,638,68.15,card
648,648,156.23,card
649,649,198.06,card
651,651,217.29,card
652,652,143.39,card
653,653,239.3,card
658,658,72.45,card
659,659,121.54,card
660,660,171.53,card
661,661,43.07,card
662,662,136.55,card
663,663,54.24,card
664,664,187.24,card
665,665,93.73,card
666,666,30.01,card
667,667,162.47,card
670,670,15.6,card
685,685,39.43,card
695,695,87.45,card
696,696,36.25,card
707,707,232.17,card
708,708,65.46,card
709,709,119.81,card
710,710,160.51,card
716,716,229.48,card
717,717,78.55,card
718,718,66.47,card
719,719,99.0,card
720,720,243.89,card
721,721,77.63,card
722,722,194.55,card
723,723,213.93,card
724,724,234.77,card
725,725,56.38,card
726,726,229.79,card
727,727,142.4,card
728,728,36.21,card
729,729,19.68,card
730,730,230.71,card
738,738,87.1,card
739,739,56.76,card
740,740,214.93,card
741,741,22.61,card
742,742,66.91,card
743,743,245.86,card
744,744,208.09,card
753,753,184.68,card
764,764,227.15,card
765,765,149.24,card
769,769,249.36,card
770,770,75.6,card
771,771,35.45,card
772,772,91.64,card
773,773,230.53,card
777,777,55.47,card
778,778,158.03,card
779,779,108.01,card
780,780,26.58,card
781,781,225.8,card
782,782,88.07,card
783,783,243.54,card
784,784,243.94,card
785,785,118.8,card
786,786,189.12,card
787,787,88.11,card
788,788,198.42,card
789,789,21.8,card
790,790,180.59,card
791,791,71.86,card
792,792,56.73,card
794,794,198.26,card
803,803,109.96,card
804,804,184.5,card
805,805,75.97,card
809,809,67.48,card
810,810,200.2,card
811,811,152.61,card
812,812,125.58,card
817,817,159.4,card
818,818,115.82,card
837,837,199.42,card
838,838,61.94,card
839,839,243.68,card
850,850,206.52,card
851,851,109.06,card
852,852,177.13,card
853,853,167.48,card
854,854,46.14,card
855,855,39.37,card
856,856,203.53,card
871,871,206.9,card
872,872,146.64,card
873,873,183.41,card
888,888,85.24,card
889,889,231.48,card
890,890,133.41,card
891,891,181.93,card
892,892,127.89,card
893,893,173.45,card
898,898,106.08,card
899,899,219.18,card
900,900,210.05,card
901,901,192.45,card
914,914,75.3,card
915,915,229.16,card
949,949,144.62,card
950,950,125.94,card
951,951,107.24,card
952,952,187.31,card
956,956,24.5,card
961,961,136.35,card
962,962,222.28,card
977,977,137.68,card
978,978,178.95,card
979,979,46.46,card
980,980,228.87,card
986,986,128.68,card
989,989,125.84,card
990,990,30.06,card
991,991,28.5,card
992,992,165.47,card
993,993,214.88,card
994,994,82.21,card
995,995,134.98,card
1003,1003,193.01,card
1004,1004,175.17,card
1005,1005,128.26,card
1006,1006,163.91,card
1007,1007,203.04,card
1008,1008,136.38,card
1009,1009,36.86,card
1010,1010,32.87,card
1016,1016,102.23,card
1017,1017,67.19,card
1018,1018,138.55,card
1019,1019,22.65,card
1020,1020,122.44,card
1021,1021,123.12,card
1030,1030,204.33,card
1031,1031,46.6,card
1039,1039,123.98,card
1040,1040,165.54,card
1044,1044,137.42,card
1053,1053,87.77,card
1054,1054,68.38,card
1060,1060,204.78,card
1061,1061,167.39,card
1062,1062,112.03,card
1063,1063,47.11,card
1064,1064,20.2,card
1080,1080,200.99,card
1081,1081,99.17,card
1082,1082,178.8,card
1083,1083,142.75,card
1084,1084,79.7,card
1085,1085,52.68,card
1086,1086,84.48,card
1092,1092,165.61,card
1093,1093,169.84,card
1094,1094,129.06,card
1095,1095,165.81,card
1096,1096,138.57,card
1097,1097,26.54,card
1098,1098,233.17,card
1099,1099,203.24,card
1100,1100,189.72,card
1101,1101,201.65,card
1105,1105,148.96,card
1106,1106,191.06,card
1114,1114,15.05,card
1115,1115,155.0,card
1116,1116,16.54,card
1117,1117,216.09,card
1118,1118,230.99,card
1119,1119,232.59,card
1120,1120,123.19,card
1121,1121,101.26,card
1130,1130,141.88,card
1131,1131,178.98,card
1137,1137,72.87,card
1138,1138,91.0,card
1139,1139,41.44,card
1140,1140,96.85,card
1141,1141,49.27,card
1142,1142,61.93,card
1143,1143,41.41,card
1144,1144,232.78,card
1145,1145,18.23,card
1146,1146,86.7,card
1147,1147,64.12,card
1148,1148,143.41,card
1165,1165,228.75,card
1166,1166,169.21,card
1179,1179,218.78,card
1189,1189,112.19,card
1190,1190,121.61,card
1191,1191,222.4,card
1199,1199,131.94,card
1200,1200,111.39,card
1201,1201,16.54,card
1202,1202,160.65,card
1203,1203,26.5,card
1204,1204,23.63,card
1205,1205,211.93,card
1206,1206,26.52,card
1207,1207,52.91,card
1210,1210,213.18,card
1211,1211,46.62,card
1212,1212,92.36,card
1213,1213,178.52,card
1221,1221,200.7,card
1222,1222,144.25,card
1223,1223,176.17,card
1224,1224,159.76,card
1225,1225,60.59,card
1226,1226,51.52,card
1227,1227,225.54,card
1228,1228,233.03,card
1230,1230,94.7,card
1231,1231,212.97,card
1232,1232,59.03,card
1233,1233,180.74,card
1234,1234,78.8,card
1235,1235,138.4,card
1236,1236,199.46,card
1237,1237,119.29,card
1238,1238,227.66,card
1239,1239,232.05,card
1242,1242,137.34,card
1250,1250,26.92,card
1251,1251,39.89,card
1252,1252,107.1,card
1253,1253,148.43,card
1254,1254,37.86,card
1256,1256,179.41,card
1257,1257,121.52,card
1264,1264,55.68,card
1265,1265,211.64,card
1266,1266,123.78,card
1267,1267,56.4,card
1268,1268,155.59,card
1271,1271,60.98,card
1272,1272,85.44,card
1273,1273,230.85,card
1274,1274,247.72,card
1275,1275,246.81,card
1276,1276,215.34,card
1277,1277,242.46,card
1282,1282,31.86,card
1283,1283,244.12,card
1284,1284,165.93,card
1288,1288,78.27,card
1289,1289,101.24,card
1290,1290,128.57,card
1291,1291,128.16,card
1297,1297,76.2,card
1298,1298,54.73,card
1299,1299,205.09,card
1304,1304,150.77,card
1305,1305,165.93,card
1306,1306,27.34,card
1312,1312,93.72,card
1313,1313,75.01,card
1314,1314,196.69,card
1315,1315,196.07,card
1316,1316,88.62,card
1328,1328,249.05,card
1329,1329,56.81,card
1330,1330,142.05,card
1331,1331,166.18,card
1332,1332,19.41,card
1333,1333,171.18,card
1336,1336,93.36,card
1337,1337,163.58,card
1338,1338,100.86,card
1339,1339,33.91,card
1340,1340,167.23,card
1345,1345,50.0,card
1346,1346,23.67,card
1347,1347,125.74,card
1348,1348,72.03,card
1349,1349,55.48,card
1350,1350,207.87,card
1351,1351,55.11,card
1352,1352,41.83,card
1355,1355,143.28,card
1356,1356,194.59,card
1357,1357,29.86,card
1358,1358,54.49,card
1359,1359,118.09,card
1372,1372,117.15,card
1373,1373,25.18,card
1374,1374,42.28,card
1375,1375,154.29,card
1376,1376,190.57,card
1377,1377,198.06,card
1378,1378,70.72,card
1379,1379,103.25,card
1380,1380,152.5,card
1381,1381,49.06,card
1385,1385,122.77,card
1386,1386,66.67,card
1387,1387,200.54,card
1388,1388,227.81,card
1389,1389,215.93,card
1390,1390,18.41,card
1391,1391,73.24,card
1392,1392,224.58,card
1393,1393,229.73,card
1394,1394,245.34,card
1395,1395,187.37,card
1396,1396,139.81,card
1397,1397,121.32,card
1401,1401,58.46,card
1402,1402,180.42,card
1403,1403,139.77,card
1404,1404,222.0,card
1405,1405,135.96,card
1409,1409,41.69,card
1410,1410,219.72,card
1411,1411,90.31,card
1412,1412,174.85,card
1413,1413,102.61,card
1420,1420,59.43,card
1421,1421,129.24,card
1422,1422,212.85,card
1423,1423,148.3,card
1424,1424,55.36,card
1425,1425,102.4,card
1426,1426,49.86,card
1433,1433,171.72,card
1434,1434,94.59,card
1435,1435,226.54,card
1436,1436,42.47,card
1437,1437,212.61,card
1443,1443,220.46,card
1444,1444,189.26,card
1445,1445,82.83,card
1446,1446,186.22,card
1447,1447,155.51,card
1448,1448,126.53,card
1481,1481,173.28,card
1482,1482,245.61,card
1483,1483,68.48,card
1499,1499,130.0,card
1500,1500,210.12,card
1504,1504,247.82,card
1505,1505,105.15,card
1506,1506,119.0,card
1507,1507,145.82,card
1508,1508,222.9,card
1513,1513,159.98,card
1514,1514,90.31,card
1515,1515,45.13,card
1516,1516,21.32,card
1522,1522,148.49,card
1534,1534,88.64,card
1535,1535,161.87,card
1536,1536,77.96,card
1537,1537,215.4,card
1538,1538,185.75,card
1539,1539,100.6,card
1544,1544,167.03,card
1545,1545,75.72,card
1548,1548,225.74,card
1549,1549,108.27,card
1550,1550,70.47,card
1551,1551,234.24,card
1552,1552,238.17,card
1553,1553,131.67,card
1557,1557,130.23,card
1558,1558,89.38,card
1559,1559,241.38,card
1560,1560,100.3,card
1561,1561,177.31,card
1564,1564,216.96,card
1565,1565,163.37,card
1566,1566,200.49,card
1567,1567,208.45,card
1568,1568,188.18,card
1577,1577,107.47,card
1578,1578,67.75,card
1579,1579,167.07,card
1580,1580,243.92,card
1581,1581,26.7,card
1582,1582,76.14,card
1596,1596,181.75,card
1597,1597,74.61,card
1604,1604,89.15,card
1605,1605,145.58,card
